avg_kl,token_id,gloss_with_replacement,part_of_speech
0.4635137968072098,5098812,want,v
0.0,5164348,bug,n
0.0,5197119,upstairs,adv
0.7066982139383009,5180737,lightning,n
0.0,5147977,little,adj
0.0,5115210,hot,adj
0.10648633783851201,5107023,get,v
0.0,5188945,want,v
0.37042797383044845,5139796,make,v
0.0,5172567,stands,n
0.0,5188980,do,v
0.0,5164407,desk,n
0.4455946160742501,5180797,means,v
0.0,5197181,go,v
0.0,4287871,pretend,v
0.0,5172609,girl,n
0.0,5115272,hot,adj
0.43499605361658567,5197192,ask,v
0.10648633783851201,5107096,get,v
0.2399218897878731,5139868,make,v
0.0,4287903,school,n
0.0,5180836,thunder,v
0.0,5172655,stands,n
0.0,5164471,bug,v
0.0,5197243,wants,v
0.0,5180863,second,adj
0.0,5139910,kitchen,n
0.0,5189063,just,adj
0.0,5098952,too,adv
0.0,5131720,picture,n
0.0,5107146,bubbles,n
0.0,5148114,little,adj
0.0,5197283,come,v
0.0,5189092,important,adj
0.0,5197292,upstairs,adv
0.5545177444479568,5172721,girl,n
0.0,5148156,toilet,n
0.0,5139966,wash,v
0.0,5131780,picture,n
0.0,5090824,close,adj
0.0,5123600,duck,n
0.23829527466721012,5139984,hands,n
0.0,5115408,uneven,adj
0.0,5189143,right,adj
0.0,5123614,duck,n
0.0,5164579,pig,n
0.0,5123624,duck,n
0.6079826646141072,5090867,day,n
0.0,5123635,duck,n
0.7066982139383009,5189174,there,adv
0.0,5099066,second,adj
0.0,5156416,cup,n
0.0,5131843,pig,n
0.7202381175497576,5172803,begins,v
0.0,5123653,duck,n
0.0,5140040,wash,v
0.6657174315389738,5181008,stop,v
0.0,5156443,saucer,n
0.4455946160742501,5189212,worry,v
0.0,5164642,pig,n
0.21745793899919907,5090917,end,n
0.0,5181030,now,adv
0.5546636507248808,5107309,slipped,v
0.23829527466721012,5140083,hands,n
0.0,5156471,mug,n
0.0,4288121,thank,v
0.7202381175497576,5172857,begins,v
0.2574546670651227,5148289,think,v
0.0,5164678,paper,n
0.6079826646141072,5090955,day,n
0.0,5164690,hat,n
0.0,5131924,pig,n
0.0,5181078,probably,adv
0.0,5189273,fish,n
0.0,5181090,time,v
0.0,5156515,more,adv
0.0,5172901,girl,n
0.7202381175497576,5172907,begins,v
0.0,5148333,enough,adv
0.5266964611355728,5164726,triangle,n
0.0,5181112,get,v
0.0,5164741,hat,n
0.0,5091020,car,n
0.2337883030777472,5140173,things,n
0.40433585532663463,5181137,bed,n
0.0,5189330,words,n
